,folder,file,raw-size,compress-size,encoding-time,decoding-time,compress-ratio,compress-speed
174,ssz_blocks,block_6457975.ssz,993066.0,500125.0,1684862.2,811993.7,1.9856359999999997,0.6109083000000001
175,ssz_blocks,block_6457980.ssz,1010069.0,523204.0,1820313.8,755963.4,1.930545,0.5789828
176,ssz_blocks,block_6459134.ssz,1477631.0,749628.0,2317411.5,1136457.9000000001,1.971152,0.6689544000000001
177,ssz_blocks,block_6459135.ssz,1269334.0,639552.0,2162695.4,1065517.5999999999,1.984724,0.6177401
178,ssz_blocks,block_6460103.ssz,880985.0,434810.0,1422140.4000000001,590157.2000000001,2.026138,0.6401467
179,ssz_blocks,block_6462842.ssz,887423.0,444646.0,1674833.4,670903.0,1.9957969999999998,0.5456466999999999
180,ssz_blocks,block_6463562.ssz,882233.0,446899.0,1591272.9,639339.9,1.974122,0.5694729
181,ssz_blocks,block_6469698.ssz,966612.0,597959.0,1583370.3,622495.5,1.616519,0.6321978
182,ssz_blocks,block_6471695.ssz,916901.0,469386.0,1665199.8,733562.7999999999,1.953405,0.5745148
183,ssz_blocks,block_6487387.ssz,973258.0,559255.0,1430981.9000000001,661188.7000000001,1.740276,0.7109101999999999
184,ssz_blocks,block_6487416.ssz,962979.0,529548.0,1347105.7,626851.5,1.818492,0.7649352
185,ssz_blocks,block_6487609.ssz,2139353.0,988364.0,3347777.7,1679577.4,2.16454,0.6524227
186,ssz_blocks,block_6487610.ssz,994732.0,519200.0,1823030.8,855238.6,1.915894,0.5630739
187,ssz_blocks,block_6495347.ssz,1052540.0,539120.0,1476379.5,687199.1,1.95233,0.7505947
188,ssz_blocks,block_6501596.ssz,958433.0,742871.0,837091.7,409611.4,1.290174,1.1946431000000002
189,ssz_blocks,block_6502336.ssz,1064443.0,1032493.0,297901.39999999997,201423.3,1.030945,3.8767605
190,ssz_blocks,block_6503267.ssz,892281.0,546872.0,1150017.0,423058.9,1.631608,0.8229463
191,ssz_blocks,block_6507058.ssz,859343.0,440381.0,1393012.3,620537.9,1.951363,0.6255648
192,ssz_blocks,block_6509204.ssz,1032934.0,528747.0,1583505.5,700334.9,1.953551,0.6690385
193,ssz_blocks,block_6510200.ssz,886615.0,846989.0,360137.5,260002.7,1.046785,2.8121085
194,ssz_blocks,block_6510204.ssz,973023.0,934415.0,235190.7,125644.0,1.041318,5.1562193
195,ssz_blocks,block_6515009.ssz,1113818.0,553483.0,1478722.0999999999,692007.7999999999,2.01238,0.758827
196,ssz_blocks,block_6522215.ssz,993137.0,506216.0,1287427.0999999999,623499.5,1.961884,0.7853137
197,ssz_blocks,block_6522217.ssz,909711.0,463622.0,1251536.0999999999,566989.2000000001,1.9621829999999998,0.7428217
